anchor_id,partition,event_family,signal_bar_open_utc,decision_available_utc,mode,source_status,source_reason,source,source_as_of_utc,active,filing_count,severity,base_form,category,age_hours,capacity_only,available_at_utc,accession,direction_claim
OPT-LONG-535e3b7b512a533a:1776959100000,HOLDOUT,THESIS_PRESSURE,2026-04-23T15:45:00+00:00,2026-04-23T16:00:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-535e3b7b512a533a:1776963600000,HOLDOUT,THESIS_PRESSURE,2026-04-23T17:00:00+00:00,2026-04-23T17:15:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-535e3b7b512a533a:1776963600000,HOLDOUT,THESIS_PRESSURE,2026-04-23T17:00:00+00:00,2026-04-23T17:15:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-44366f821d9e6696:1775755800000,HOLDOUT,CONTINUATION,2026-04-09T17:30:00+00:00,2026-04-09T17:45:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-44366f821d9e6696:1775755800000,HOLDOUT,CONTINUATION,2026-04-09T17:30:00+00:00,2026-04-09T17:45:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-44366f821d9e6696:1775763900000,HOLDOUT,CONTINUATION,2026-04-09T19:45:00+00:00,2026-04-09T20:00:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-44366f821d9e6696:1775763900000,HOLDOUT,CONTINUATION,2026-04-09T19:45:00+00:00,2026-04-09T20:00:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-44366f821d9e6696:1776195900000,HOLDOUT,ENTRY_FORMING,2026-04-14T19:45:00+00:00,2026-04-14T20:00:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-44366f821d9e6696:1776195900000,HOLDOUT,ENTRY_FORMING,2026-04-14T19:45:00+00:00,2026-04-14T20:00:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-44366f821d9e6696:1776267000000,HOLDOUT,CONTINUATION,2026-04-15T15:30:00+00:00,2026-04-15T15:45:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-44366f821d9e6696:1776267000000,HOLDOUT,CONTINUATION,2026-04-15T15:30:00+00:00,2026-04-15T15:45:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-44366f821d9e6696:1776280500000,HOLDOUT,CONTINUATION,2026-04-15T19:15:00+00:00,2026-04-15T19:30:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-44366f821d9e6696:1776280500000,HOLDOUT,CONTINUATION,2026-04-15T19:15:00+00:00,2026-04-15T19:30:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-44366f821d9e6696:1776351600000,HOLDOUT,CONTINUATION,2026-04-16T15:00:00+00:00,2026-04-16T15:15:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-44366f821d9e6696:1776351600000,HOLDOUT,CONTINUATION,2026-04-16T15:00:00+00:00,2026-04-16T15:15:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-44366f821d9e6696:1776367800000,HOLDOUT,CONTINUATION,2026-04-16T19:30:00+00:00,2026-04-16T19:45:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-44366f821d9e6696:1776367800000,HOLDOUT,CONTINUATION,2026-04-16T19:30:00+00:00,2026-04-16T19:45:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-44366f821d9e6696:1776438000000,HOLDOUT,RISK_OR_EXHAUSTION,2026-04-17T15:00:00+00:00,2026-04-17T15:15:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-44366f821d9e6696:1776438000000,HOLDOUT,RISK_OR_EXHAUSTION,2026-04-17T15:00:00+00:00,2026-04-17T15:15:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-44366f821d9e6696:1776713400000,HOLDOUT,ENTRY_FORMING,2026-04-20T19:30:00+00:00,2026-04-20T19:45:00+00:00,PUBLIC_ACCEPTANCE,ACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,True,1,MEDIUM,8-K,MATERIAL_FILING,71.13666666666667,False,2026-04-17T20:36:48+00:00,0001104659-26-044930,
OPT-LONG-44366f821d9e6696:1776713400000,HOLDOUT,ENTRY_FORMING,2026-04-20T19:30:00+00:00,2026-04-20T19:45:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-44366f821d9e6696:1776784500000,HOLDOUT,THESIS_PRESSURE,2026-04-21T15:15:00+00:00,2026-04-21T15:30:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-44366f821d9e6696:1776784500000,HOLDOUT,THESIS_PRESSURE,2026-04-21T15:15:00+00:00,2026-04-21T15:30:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-44366f821d9e6696:1776789000000,HOLDOUT,THESIS_PRESSURE,2026-04-21T16:30:00+00:00,2026-04-21T16:45:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-44366f821d9e6696:1776789000000,HOLDOUT,THESIS_PRESSURE,2026-04-21T16:30:00+00:00,2026-04-21T16:45:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-44366f821d9e6696:1776798900000,HOLDOUT,CONTINUATION,2026-04-21T19:15:00+00:00,2026-04-21T19:30:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-44366f821d9e6696:1776798900000,HOLDOUT,CONTINUATION,2026-04-21T19:15:00+00:00,2026-04-21T19:30:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-44366f821d9e6696:1776870000000,HOLDOUT,THESIS_PRESSURE,2026-04-22T15:00:00+00:00,2026-04-22T15:15:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-44366f821d9e6696:1776870000000,HOLDOUT,THESIS_PRESSURE,2026-04-22T15:00:00+00:00,2026-04-22T15:15:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-44366f821d9e6696:1776874500000,HOLDOUT,THESIS_PRESSURE,2026-04-22T16:15:00+00:00,2026-04-22T16:30:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-44366f821d9e6696:1776874500000,HOLDOUT,THESIS_PRESSURE,2026-04-22T16:15:00+00:00,2026-04-22T16:30:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-44366f821d9e6696:1776951000000,HOLDOUT,CONTINUATION,2026-04-23T13:30:00+00:00,2026-04-23T13:45:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-44366f821d9e6696:1776951000000,HOLDOUT,CONTINUATION,2026-04-23T13:30:00+00:00,2026-04-23T13:45:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-44366f821d9e6696:1776959100000,HOLDOUT,THESIS_PRESSURE,2026-04-23T15:45:00+00:00,2026-04-23T16:00:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-44366f821d9e6696:1776959100000,HOLDOUT,THESIS_PRESSURE,2026-04-23T15:45:00+00:00,2026-04-23T16:00:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-44366f821d9e6696:1776963600000,HOLDOUT,THESIS_PRESSURE,2026-04-23T17:00:00+00:00,2026-04-23T17:15:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-44366f821d9e6696:1776963600000,HOLDOUT,THESIS_PRESSURE,2026-04-23T17:00:00+00:00,2026-04-23T17:15:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-fb4967fee354ab09:1775755800000,HOLDOUT,CONTINUATION,2026-04-09T17:30:00+00:00,2026-04-09T17:45:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-fb4967fee354ab09:1775755800000,HOLDOUT,CONTINUATION,2026-04-09T17:30:00+00:00,2026-04-09T17:45:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-fb4967fee354ab09:1776195900000,HOLDOUT,ENTRY_FORMING,2026-04-14T19:45:00+00:00,2026-04-14T20:00:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-fb4967fee354ab09:1776195900000,HOLDOUT,ENTRY_FORMING,2026-04-14T19:45:00+00:00,2026-04-14T20:00:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-fb4967fee354ab09:1776367800000,HOLDOUT,CONTINUATION,2026-04-16T19:30:00+00:00,2026-04-16T19:45:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-fb4967fee354ab09:1776367800000,HOLDOUT,CONTINUATION,2026-04-16T19:30:00+00:00,2026-04-16T19:45:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-fb4967fee354ab09:1776438000000,HOLDOUT,RISK_OR_EXHAUSTION,2026-04-17T15:00:00+00:00,2026-04-17T15:15:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-fb4967fee354ab09:1776438000000,HOLDOUT,RISK_OR_EXHAUSTION,2026-04-17T15:00:00+00:00,2026-04-17T15:15:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-fb4967fee354ab09:1776713400000,HOLDOUT,ENTRY_FORMING,2026-04-20T19:30:00+00:00,2026-04-20T19:45:00+00:00,PUBLIC_ACCEPTANCE,ACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,True,1,MEDIUM,8-K,MATERIAL_FILING,71.13666666666667,False,2026-04-17T20:36:48+00:00,0001104659-26-044930,
OPT-LONG-fb4967fee354ab09:1776713400000,HOLDOUT,ENTRY_FORMING,2026-04-20T19:30:00+00:00,2026-04-20T19:45:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-fb4967fee354ab09:1776789000000,HOLDOUT,THESIS_PRESSURE,2026-04-21T16:30:00+00:00,2026-04-21T16:45:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-fb4967fee354ab09:1776789000000,HOLDOUT,THESIS_PRESSURE,2026-04-21T16:30:00+00:00,2026-04-21T16:45:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-fb4967fee354ab09:1776798900000,HOLDOUT,CONTINUATION,2026-04-21T19:15:00+00:00,2026-04-21T19:30:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-fb4967fee354ab09:1776798900000,HOLDOUT,CONTINUATION,2026-04-21T19:15:00+00:00,2026-04-21T19:30:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-fb4967fee354ab09:1776870000000,HOLDOUT,THESIS_PRESSURE,2026-04-22T15:00:00+00:00,2026-04-22T15:15:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-fb4967fee354ab09:1776870000000,HOLDOUT,THESIS_PRESSURE,2026-04-22T15:00:00+00:00,2026-04-22T15:15:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-fb4967fee354ab09:1776874500000,HOLDOUT,THESIS_PRESSURE,2026-04-22T16:15:00+00:00,2026-04-22T16:30:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-fb4967fee354ab09:1776874500000,HOLDOUT,THESIS_PRESSURE,2026-04-22T16:15:00+00:00,2026-04-22T16:30:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-fb4967fee354ab09:1776951000000,HOLDOUT,CONTINUATION,2026-04-23T13:30:00+00:00,2026-04-23T13:45:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-fb4967fee354ab09:1776951000000,HOLDOUT,CONTINUATION,2026-04-23T13:30:00+00:00,2026-04-23T13:45:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-fb4967fee354ab09:1776963600000,HOLDOUT,THESIS_PRESSURE,2026-04-23T17:00:00+00:00,2026-04-23T17:15:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-fb4967fee354ab09:1776963600000,HOLDOUT,THESIS_PRESSURE,2026-04-23T17:00:00+00:00,2026-04-23T17:15:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-fb4967fee354ab09:1777319100000,HOLDOUT,ENTRY_FORMING,2026-04-27T19:45:00+00:00,2026-04-27T20:00:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-fb4967fee354ab09:1777319100000,HOLDOUT,ENTRY_FORMING,2026-04-27T19:45:00+00:00,2026-04-27T20:00:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-fb4967fee354ab09:1777390200000,HOLDOUT,THESIS_PRESSURE,2026-04-28T15:30:00+00:00,2026-04-28T15:45:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-fb4967fee354ab09:1777390200000,HOLDOUT,THESIS_PRESSURE,2026-04-28T15:30:00+00:00,2026-04-28T15:45:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-fb4967fee354ab09:1777402800000,HOLDOUT,CONTINUATION,2026-04-28T19:00:00+00:00,2026-04-28T19:15:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
